student_id,action,note,created_at
1,SMS reminder,One-on-one tutoring offered,2026-04-30T17:41:32.378786Z
1,Email sent,One-on-one tutoring offered,2026-04-23T17:41:32.378786Z
2,Call placed,One-on-one tutoring offered,2026-04-16T17:41:32.378786Z
5,Call placed,Follow-up scheduled,2026-05-06T17:41:32.378786Z
5,Meeting scheduled,Left voicemail,2026-04-23T17:41:32.378786Z
8,Email sent,Escalated to advisor,2026-04-21T17:41:32.378786Z
9,Call placed,Left voicemail,2026-04-09T17:41:32.378786Z
12,Email sent,,2026-04-10T17:41:32.378786Z
12,SMS reminder,Escalated to advisor,2026-04-08T17:41:32.378786Z
13,Meeting scheduled,Left voicemail,2026-04-13T17:41:32.378786Z
14,Call placed,Follow-up scheduled,2026-05-04T17:41:32.378786Z
17,Email sent,One-on-one tutoring offered,2026-04-16T17:41:32.378786Z
19,Meeting scheduled,,2026-04-11T17:41:32.378786Z
20,Email sent,Counseling referral made,2026-04-24T17:41:32.378786Z
25,Call placed,Follow-up scheduled,2026-05-06T17:41:32.378786Z
26,SMS reminder,,2026-04-18T17:41:32.378786Z
26,Call placed,Left voicemail,2026-04-07T17:41:32.378786Z
29,SMS reminder,Left voicemail,2026-04-07T17:41:32.378786Z
29,Meeting scheduled,One-on-one tutoring offered,2026-04-29T17:41:32.378786Z
35,Call placed,Escalated to advisor,2026-04-18T17:41:32.378786Z
37,SMS reminder,,2026-04-27T17:41:32.378786Z
39,Call placed,One-on-one tutoring offered,2026-04-18T17:41:32.378786Z
46,Meeting scheduled,Escalated to advisor,2026-04-10T17:41:32.378786Z
51,SMS reminder,Follow-up scheduled,2026-04-13T17:41:32.378786Z
55,SMS reminder,,2026-04-11T17:41:32.378786Z
56,Call placed,Escalated to advisor,2026-04-09T17:41:32.378786Z
58,SMS reminder,Follow-up scheduled,2026-04-30T17:41:32.378786Z
60,SMS reminder,Counseling referral made,2026-04-10T17:41:32.378786Z
61,Call placed,Counseling referral made,2026-05-07T17:41:32.378786Z
61,SMS reminder,Left voicemail,2026-04-20T17:41:32.378786Z
63,SMS reminder,One-on-one tutoring offered,2026-04-19T17:41:32.378786Z
65,Email sent,Left voicemail,2026-04-24T17:41:32.378786Z
66,SMS reminder,,2026-04-21T17:41:32.378786Z
68,Email sent,One-on-one tutoring offered,2026-04-30T17:41:32.378786Z
68,Call placed,Left voicemail,2026-05-06T17:41:32.378786Z
69,SMS reminder,Follow-up scheduled,2026-04-26T17:41:32.378786Z
69,Email sent,,2026-04-09T17:41:32.378786Z
72,SMS reminder,Follow-up scheduled,2026-04-27T17:41:32.378786Z
72,Email sent,Follow-up scheduled,2026-04-12T17:41:32.378786Z
73,Meeting scheduled,One-on-one tutoring offered,2026-04-26T17:41:32.378786Z
75,Call placed,,2026-04-19T17:41:32.378786Z
82,Call placed,One-on-one tutoring offered,2026-04-14T17:41:32.378786Z
85,Meeting scheduled,One-on-one tutoring offered,2026-05-01T17:41:32.378786Z
86,Call placed,Escalated to advisor,2026-05-04T17:41:32.378786Z
90,SMS reminder,Follow-up scheduled,2026-05-06T17:41:32.378786Z
90,Email sent,Follow-up scheduled,2026-05-02T17:41:32.378786Z
91,Call placed,Follow-up scheduled,2026-04-22T17:41:32.378786Z
92,Email sent,,2026-04-10T17:41:32.378786Z
102,Email sent,One-on-one tutoring offered,2026-05-05T17:41:32.378786Z
102,SMS reminder,Escalated to advisor,2026-05-01T17:41:32.378786Z
103,Call placed,,2026-04-26T17:41:32.378786Z
105,Meeting scheduled,Escalated to advisor,2026-05-07T17:41:32.378786Z
105,SMS reminder,,2026-04-13T17:41:32.378786Z
106,Meeting scheduled,One-on-one tutoring offered,2026-05-06T17:41:32.378786Z
109,Call placed,Escalated to advisor,2026-04-24T17:41:32.378786Z
110,Email sent,One-on-one tutoring offered,2026-05-05T17:41:32.378786Z
111,Email sent,Left voicemail,2026-04-18T17:41:32.378786Z
113,Call placed,Follow-up scheduled,2026-04-10T17:41:32.378786Z
119,SMS reminder,,2026-05-04T17:41:32.378786Z
120,Meeting scheduled,Left voicemail,2026-04-22T17:41:32.378786Z
124,Email sent,One-on-one tutoring offered,2026-04-19T17:41:32.378786Z
124,Email sent,Follow-up scheduled,2026-04-17T17:41:32.378786Z
125,Call placed,,2026-04-26T17:41:32.378786Z
134,Call placed,Counseling referral made,2026-04-14T17:41:32.378786Z
136,Email sent,Left voicemail,2026-04-29T17:41:32.378786Z
136,SMS reminder,One-on-one tutoring offered,2026-05-01T17:41:32.378786Z
138,SMS reminder,,2026-04-16T17:41:32.378786Z
148,Meeting scheduled,,2026-04-12T17:41:32.387481Z
150,Meeting scheduled,,2026-04-07T17:41:32.387481Z
150,Email sent,One-on-one tutoring offered,2026-04-22T17:41:32.387481Z
151,SMS reminder,,2026-04-18T17:41:32.387481Z
160,Meeting scheduled,Follow-up scheduled,2026-05-01T17:41:32.387481Z
161,Email sent,One-on-one tutoring offered,2026-04-17T17:41:32.387481Z
161,SMS reminder,One-on-one tutoring offered,2026-05-07T17:41:32.387481Z
162,SMS reminder,Left voicemail,2026-04-24T17:41:32.387481Z
163,Email sent,Follow-up scheduled,2026-04-14T17:41:32.387481Z
166,Email sent,Left voicemail,2026-04-18T17:41:32.387481Z
166,Call placed,One-on-one tutoring offered,2026-05-01T17:41:32.387481Z
168,Meeting scheduled,Left voicemail,2026-04-26T17:41:32.387481Z
168,Call placed,Escalated to advisor,2026-04-29T17:41:32.387481Z
169,Meeting scheduled,Follow-up scheduled,2026-04-23T17:41:32.387481Z
