student_id,risk_score,risk_level,predicted_dropout_reason,updated_at
1,75,High,Poor academic performance,2026-04-27T17:41:32.378786Z
2,47,Medium,,2026-05-04T17:41:32.378786Z
3,55,Medium,,2026-04-28T17:41:32.378786Z
4,65,Medium,,2026-04-29T17:41:32.378786Z
5,68,High,Poor academic performance,2026-05-03T17:41:32.378786Z
6,52,Medium,,2026-05-05T17:41:32.378786Z
7,61,Medium,,2026-04-29T17:41:32.378786Z
8,75,High,Mental health concerns,2026-05-07T17:41:32.378786Z
9,75,High,Financial constraints,2026-04-28T17:41:32.378786Z
10,44,Medium,,2026-04-30T17:41:32.378786Z
11,43,Medium,,2026-04-27T17:41:32.378786Z
12,54,Medium,,2026-04-24T17:41:32.378786Z
13,75,High,Poor academic performance,2026-05-06T17:41:32.378786Z
14,53,Medium,,2026-05-07T17:41:32.378786Z
15,74,High,Low engagement,2026-04-28T17:41:32.378786Z
16,62,Medium,,2026-04-25T17:41:32.378786Z
17,58,Medium,,2026-04-27T17:41:32.378786Z
18,66,High,Attendance issues,2026-04-25T17:41:32.378786Z
19,68,High,Low engagement,2026-04-27T17:41:32.378786Z
20,54,Medium,,2026-05-07T17:41:32.378786Z
21,79,High,Low engagement,2026-05-01T17:41:32.378786Z
22,65,Medium,,2026-04-23T17:41:32.378786Z
23,43,Medium,,2026-04-27T17:41:32.378786Z
24,61,Medium,,2026-04-27T17:41:32.378786Z
25,54,Medium,,2026-05-07T17:41:32.378786Z
26,66,High,Financial constraints,2026-05-04T17:41:32.378786Z
27,40,Medium,,2026-04-30T17:41:32.378786Z
28,66,High,Low engagement,2026-04-24T17:41:32.378786Z
29,71,High,Mental health concerns,2026-04-28T17:41:32.378786Z
30,54,Medium,,2026-05-01T17:41:32.378786Z
31,73,High,Mental health concerns,2026-04-28T17:41:32.378786Z
32,68,High,Mental health concerns,2026-05-06T17:41:32.378786Z
33,44,Medium,,2026-05-07T17:41:32.378786Z
34,74,High,Attendance issues,2026-05-05T17:41:32.378786Z
35,71,High,Financial constraints,2026-05-01T17:41:32.378786Z
36,77,High,Low engagement,2026-05-02T17:41:32.378786Z
37,69,High,Financial constraints,2026-05-04T17:41:32.378786Z
38,44,Medium,,2026-04-30T17:41:32.378786Z
39,71,High,Mental health concerns,2026-04-27T17:41:32.378786Z
40,40,Medium,,2026-05-04T17:41:32.378786Z
41,58,Medium,,2026-05-03T17:41:32.378786Z
42,57,Medium,,2026-04-23T17:41:32.378786Z
43,58,Medium,,2026-05-07T17:41:32.378786Z
44,75,High,Mental health concerns,2026-05-02T17:41:32.378786Z
45,70,High,Attendance issues,2026-05-01T17:41:32.378786Z
46,68,High,Attendance issues,2026-05-04T17:41:32.378786Z
47,81,High,Low engagement,2026-04-29T17:41:32.378786Z
48,62,Medium,,2026-05-07T17:41:32.378786Z
49,82,High,Low engagement,2026-05-07T17:41:32.378786Z
50,55,Medium,,2026-04-26T17:41:32.378786Z
51,48,Medium,,2026-04-30T17:41:32.378786Z
52,42,Medium,,2026-05-01T17:41:32.378786Z
53,54,Medium,,2026-05-04T17:41:32.378786Z
54,54,Medium,,2026-05-05T17:41:32.378786Z
55,69,High,Financial constraints,2026-04-27T17:41:32.378786Z
56,49,Medium,,2026-05-04T17:41:32.378786Z
57,52,Medium,,2026-04-24T17:41:32.378786Z
58,76,High,Poor academic performance,2026-05-03T17:41:32.378786Z
59,43,Medium,,2026-04-30T17:41:32.378786Z
60,72,High,Poor academic performance,2026-04-28T17:41:32.378786Z
61,40,Medium,,2026-05-01T17:41:32.378786Z
62,54,Medium,,2026-05-07T17:41:32.378786Z
63,49,Medium,,2026-04-28T17:41:32.378786Z
64,79,High,Mental health concerns,2026-05-07T17:41:32.378786Z
65,71,High,Mental health concerns,2026-05-01T17:41:32.378786Z
66,67,High,Low engagement,2026-04-26T17:41:32.378786Z
67,65,Medium,,2026-04-24T17:41:32.378786Z
68,51,Medium,,2026-05-01T17:41:32.378786Z
69,71,High,Financial constraints,2026-04-25T17:41:32.378786Z
70,50,Medium,,2026-04-23T17:41:32.378786Z
71,59,Medium,,2026-04-26T17:41:32.378786Z
72,76,High,Financial constraints,2026-04-29T17:41:32.378786Z
73,68,High,Attendance issues,2026-04-27T17:41:32.378786Z
74,42,Medium,,2026-05-06T17:41:32.378786Z
75,63,Medium,,2026-05-01T17:41:32.378786Z
76,49,Medium,,2026-04-25T17:41:32.378786Z
77,48,Medium,,2026-04-27T17:41:32.378786Z
78,83,High,Poor academic performance,2026-04-30T17:41:32.378786Z
79,80,High,Financial constraints,2026-05-03T17:41:32.378786Z
80,43,Medium,,2026-04-25T17:41:32.378786Z
81,53,Medium,,2026-04-27T17:41:32.378786Z
82,68,High,Mental health concerns,2026-05-06T17:41:32.378786Z
83,84,High,Attendance issues,2026-04-25T17:41:32.378786Z
84,62,Medium,,2026-05-04T17:41:32.378786Z
85,52,Medium,,2026-05-01T17:41:32.378786Z
86,65,Medium,,2026-04-28T17:41:32.378786Z
87,47,Medium,,2026-05-03T17:41:32.378786Z
88,43,Medium,,2026-04-25T17:41:32.378786Z
89,75,High,Poor academic performance,2026-04-29T17:41:32.378786Z
90,65,Medium,,2026-04-29T17:41:32.378786Z
91,45,Medium,,2026-04-26T17:41:32.378786Z
