student_id,week,avg_session_time,videos_completed,assignments_submitted,forum_posts,gpa_trend,created_at
1,1,50.6,2,1,1,2.52,2026-03-14T17:41:32.307679Z
1,2,48.5,5,3,2,2.56,2026-03-23T17:41:32.307679Z
1,3,40.9,6,3,3,2.49,2026-03-29T17:41:32.307679Z
1,4,47.4,5,3,0,2.48,2026-04-03T17:41:32.307679Z
1,5,31.5,2,3,1,2.34,2026-04-12T17:41:32.307679Z
1,6,38.2,5,3,1,2.46,2026-04-21T17:41:32.307679Z
1,7,27.0,3,3,1,2.29,2026-04-27T17:41:32.307679Z
1,8,36.2,7,1,2,2.34,2026-05-05T17:41:32.307679Z
2,1,63.4,5,4,4,2.66,2026-03-17T17:41:32.307679Z
2,2,59.8,3,3,1,2.61,2026-03-25T17:41:32.307679Z
2,3,50.4,1,2,0,2.61,2026-03-31T17:41:32.307679Z
2,4,52.7,3,1,2,2.59,2026-04-08T17:41:32.307679Z
2,5,41.6,3,2,1,2.44,2026-04-12T17:41:32.307679Z
2,6,31.0,4,4,1,2.43,2026-04-20T17:41:32.307679Z
2,7,29.4,2,3,3,2.47,2026-04-27T17:41:32.307679Z
2,8,28.0,2,3,0,2.33,2026-05-05T17:41:32.307679Z
3,1,46.0,6,2,2,3.26,2026-03-13T17:41:32.307679Z
3,2,41.6,3,1,1,3.28,2026-03-22T17:41:32.307679Z
3,3,40.7,3,2,3,3.2,2026-03-26T17:41:32.307679Z
3,4,46.8,4,3,2,3.19,2026-04-03T17:41:32.307679Z
3,5,30.5,6,4,1,3.05,2026-04-14T17:41:32.307679Z
3,6,44.5,3,1,0,3.03,2026-04-21T17:41:32.307679Z
3,7,32.5,4,4,2,3.03,2026-04-24T17:41:32.307679Z
3,8,38.3,2,1,2,3.07,2026-05-03T17:41:32.307679Z
4,1,40.7,5,0,2,3.16,2026-03-13T17:41:32.307679Z
4,2,38.5,5,4,2,3.03,2026-03-24T17:41:32.307679Z
4,3,38.8,3,3,1,2.92,2026-03-31T17:41:32.307679Z
4,4,29.0,5,2,1,2.86,2026-04-02T17:41:32.307679Z
4,5,34.1,3,3,0,2.9,2026-04-12T17:41:32.307679Z
4,6,39.5,5,2,0,2.93,2026-04-20T17:41:32.307679Z
4,7,35.6,4,5,0,2.87,2026-04-26T17:41:32.307679Z
4,8,41.1,0,4,1,2.73,2026-05-05T17:41:32.307679Z
5,1,36.3,1,1,2,3.51,2026-03-14T17:41:32.307679Z
5,2,38.2,5,2,0,3.53,2026-03-19T17:41:32.307679Z
5,3,30.5,0,1,0,3.52,2026-03-29T17:41:32.307679Z
5,4,34.7,3,5,3,3.47,2026-04-04T17:41:32.307679Z
5,5,14.0,3,5,3,3.29,2026-04-15T17:41:32.307679Z
5,6,35.7,5,1,1,3.36,2026-04-21T17:41:32.307679Z
5,7,25.4,3,0,2,3.27,2026-04-27T17:41:32.307679Z
5,8,15.3,0,2,1,3.17,2026-05-06T17:41:32.307679Z
6,1,36.9,5,1,2,3.88,2026-03-17T17:41:32.307679Z
6,2,32.9,5,2,0,3.85,2026-03-24T17:41:32.307679Z
6,3,32.3,2,1,1,3.81,2026-04-01T17:41:32.307679Z
6,4,39.1,4,2,4,3.67,2026-04-05T17:41:32.307679Z
6,5,27.7,4,0,1,3.68,2026-04-11T17:41:32.307679Z
6,6,18.0,1,0,3,3.67,2026-04-19T17:41:32.307679Z
6,7,34.2,1,4,0,3.52,2026-04-28T17:41:32.307679Z
6,8,4.0,1,0,0,3.4,2026-05-06T17:41:32.307679Z
7,1,25.6,9,2,2,3.26,2026-03-14T17:41:32.307679Z
7,2,24.4,3,4,2,3.16,2026-03-19T17:41:32.307679Z
7,3,19.6,3,1,1,2.98,2026-03-29T17:41:32.307679Z
7,4,25.9,1,1,1,2.94,2026-04-04T17:41:32.307679Z
7,5,11.6,2,3,2,3.03,2026-04-09T17:41:32.307679Z
7,6,21.9,4,2,2,3.0,2026-04-22T17:41:32.307679Z
7,7,26.5,4,4,3,2.87,2026-04-28T17:41:32.307679Z
7,8,19.9,3,4,1,2.82,2026-05-01T17:41:32.307679Z
8,1,24.4,1,5,1,2.61,2026-03-12T17:41:32.307679Z
8,2,23.0,5,2,1,2.69,2026-03-19T17:41:32.307679Z
8,3,14.9,3,4,0,2.51,2026-03-26T17:41:32.307679Z
8,4,12.3,3,3,2,2.45,2026-04-07T17:41:32.307679Z
8,5,9.5,9,2,2,2.52,2026-04-13T17:41:32.307679Z
8,6,11.3,3,3,2,2.5,2026-04-16T17:41:32.307679Z
8,7,18.5,3,3,3,2.35,2026-04-28T17:41:32.307679Z
8,8,1.0,4,1,2,2.33,2026-05-04T17:41:32.307679Z
9,1,44.8,6,5,1,2.94,2026-03-18T17:41:32.307679Z
9,2,42.2,4,2,2,2.96,2026-03-20T17:41:32.307679Z
9,3,39.8,2,3,1,2.86,2026-03-31T17:41:32.307679Z
9,4,36.6,3,3,2,2.77,2026-04-04T17:41:32.307679Z
9,5,34.9,3,2,3,2.67,2026-04-09T17:41:32.307679Z
9,6,16.8,5,3,1,2.58,2026-04-21T17:41:32.307679Z
9,7,10.8,0,3,3,2.55,2026-04-24T17:41:32.307679Z
9,8,30.0,4,0,1,2.51,2026-05-04T17:41:32.307679Z
10,1,15.6,2,5,3,3.7,2026-03-18T17:41:32.307679Z
10,2,17.0,9,1,2,3.72,2026-03-24T17:41:32.307679Z
10,3,19.5,3,2,1,3.63,2026-03-30T17:41:32.307679Z
10,4,7.0,3,4,2,3.59,2026-04-08T17:41:32.307679Z
10,5,8.5,1,3,1,3.64,2026-04-10T17:41:32.307679Z
10,6,7.1,6,0,2,3.48,2026-04-20T17:41:32.307679Z
10,7,1.0,5,3,2,3.56,2026-04-23T17:41:32.307679Z
10,8,1.0,4,1,0,3.48,2026-04-30T17:41:32.307679Z
11,1,32.8,6,2,1,3.92,2026-03-18T17:41:32.307679Z
11,2,27.1,5,0,3,3.84,2026-03-19T17:41:32.307679Z
11,3,23.5,2,4,3,3.8,2026-03-28T17:41:32.307679Z
11,4,21.7,5,3,0,3.87,2026-04-04T17:41:32.307679Z
11,5,14.7,4,2,2,3.7,2026-04-12T17:41:32.307679Z
11,6,13.3,2,0,1,3.67,2026-04-18T17:41:32.307679Z
11,7,15.1,6,4,1,3.7,2026-04-24T17:41:32.307679Z
11,8,1.0,5,3,2,3.6,2026-05-04T17:41:32.307679Z
12,1,18.7,8,2,0,2.87,2026-03-12T17:41:32.307679Z
12,2,13.5,3,5,2,2.99,2026-03-20T17:41:32.307679Z
12,3,18.6,2,0,3,2.93,2026-03-26T17:41:32.307679Z
12,4,17.2,5,4,1,2.72,2026-04-08T17:41:32.307679Z
12,5,1.0,5,3,2,2.81,2026-04-12T17:41:32.307679Z
12,6,5.9,5,1,2,2.78,2026-04-18T17:41:32.307679Z
12,7,15.7,5,3,2,2.63,2026-04-27T17:41:32.307679Z
12,8,1.0,4,1,2,2.63,2026-05-06T17:41:32.307679Z
13,1,44.0,8,2,1,3.44,2026-03-16T17:41:32.307679Z
13,2,36.9,6,3,2,3.34,2026-03-25T17:41:32.307679Z
13,3,27.3,6,2,2,3.44,2026-03-26T17:41:32.307679Z
13,4,34.0,0,0,1,3.34,2026-04-08T17:41:32.307679Z
13,5,14.3,5,0,0,3.32,2026-04-10T17:41:32.307679Z
13,6,32.1,6,2,1,3.21,2026-04-21T17:41:32.307679Z
13,7,20.3,0,2,3,3.22,2026-04-26T17:41:32.307679Z
13,8,15.0,8,3,2,3.12,2026-04-30T17:41:32.307679Z
14,1,38.1,7,4,3,2.47,2026-03-12T17:41:32.307679Z
14,2,42.2,2,3,2,2.46,2026-03-21T17:41:32.307679Z
14,3,28.3,6,2,2,2.33,2026-03-27T17:41:32.307679Z
14,4,27.2,5,1,1,2.31,2026-04-07T17:41:32.307679Z
14,5,19.7,6,1,2,2.24,2026-04-11T17:41:32.307679Z
14,6,17.0,6,3,2,2.29,2026-04-20T17:41:32.307679Z
14,7,31.9,3,2,0,2.29,2026-04-24T17:41:32.307679Z
14,8,10.2,0,1,2,2.07,2026-05-02T17:41:32.307679Z
15,1,55.2,4,0,2,2.7,2026-03-13T17:41:32.307679Z
15,2,53.6,3,3,0,2.61,2026-03-22T17:41:32.307679Z
15,3,55.2,6,1,1,2.57,2026-03-29T17:41:32.307679Z
15,4,45.9,5,3,1,2.59,2026-04-08T17:41:32.307679Z
15,5,36.9,1,6,2,2.53,2026-04-14T17:41:32.307679Z
15,6,61.5,4,4,1,2.6,2026-04-19T17:41:32.307679Z
15,7,33.2,1,1,1,2.42,2026-04-24T17:41:32.307679Z
15,8,42.6,3,4,1,2.43,2026-05-02T17:41:32.307679Z
16,1,32.9,6,4,1,2.61,2026-03-16T17:41:32.307679Z
16,2,22.6,5,3,3,2.62,2026-03-22T17:41:32.307679Z
16,3,17.5,2,4,1,2.48,2026-03-27T17:41:32.307679Z
16,4,21.6,3,3,2,2.41,2026-04-04T17:41:32.307679Z
16,5,21.8,6,3,1,2.34,2026-04-13T17:41:32.307679Z
16,6,19.6,2,3,2,2.3,2026-04-20T17:41:32.307679Z
16,7,14.8,4,1,2,2.19,2026-04-29T17:41:32.307679Z
16,8,1.0,1,5,0,2.26,2026-05-04T17:41:32.307679Z
17,1,30.4,5,3,2,3.84,2026-03-17T17:41:32.307679Z
17,2,28.3,5,1,0,3.83,2026-03-24T17:41:32.307679Z
17,3,10.6,2,3,1,3.82,2026-04-01T17:41:32.307679Z
17,4,27.7,5,0,1,3.7,2026-04-03T17:41:32.307679Z
17,5,23.2,4,0,3,3.64,2026-04-11T17:41:32.307679Z
17,6,3.7,2,3,1,3.7,2026-04-20T17:41:32.307679Z
17,7,1.0,3,3,0,3.53,2026-04-25T17:41:32.307679Z
17,8,1.0,0,1,2,3.55,2026-05-02T17:41:32.307679Z
18,1,52.6,4,2,2,3.05,2026-03-15T17:41:32.307679Z
18,2,46.3,3,2,0,2.82,2026-03-22T17:41:32.307679Z
18,3,53.4,4,0,3,2.86,2026-03-27T17:41:32.307679Z
18,4,53.6,1,0,2,2.81,2026-04-06T17:41:32.307679Z
18,5,48.9,5,0,2,2.84,2026-04-14T17:41:32.307679Z
18,6,45.4,5,1,2,2.79,2026-04-21T17:41:32.307679Z
18,7,50.3,2,2,2,2.62,2026-04-24T17:41:32.307679Z
18,8,15.1,0,3,1,2.51,2026-04-30T17:41:32.307679Z
19,1,30.1,3,1,1,3.26,2026-03-18T17:41:32.307679Z
19,2,22.5,6,2,2,3.24,2026-03-25T17:41:32.307679Z
19,3,23.9,4,1,3,3.24,2026-03-29T17:41:32.307679Z
19,4,10.8,3,3,2,3.21,2026-04-06T17:41:32.307679Z
19,5,13.0,0,2,2,3.19,2026-04-13T17:41:32.307679Z
19,6,19.9,1,1,2,3.06,2026-04-18T17:41:32.307679Z
19,7,1.0,2,0,1,3.11,2026-04-23T17:41:32.307679Z
19,8,1.0,3,1,1,3.04,2026-05-05T17:41:32.307679Z
20,1,25.1,2,4,0,3.31,2026-03-14T17:41:32.307679Z
20,2,13.9,1,0,1,3.28,2026-03-24T17:41:32.307679Z
20,3,14.7,5,4,1,3.14,2026-03-31T17:41:32.307679Z
20,4,19.4,3,3,1,3.13,2026-04-04T17:41:32.307679Z
20,5,2.5,4,5,0,3.02,2026-04-13T17:41:32.307679Z
20,6,15.7,5,0,2,3.01,2026-04-20T17:41:32.307679Z
20,7,22.3,0,2,1,2.86,2026-04-29T17:41:32.307679Z
20,8,19.6,4,0,4,2.97,2026-05-03T17:41:32.307679Z
21,1,21.5,2,6,1,3.78,2026-03-13T17:41:32.307679Z
21,2,17.8,5,3,0,3.8,2026-03-19T17:41:32.307679Z
21,3,23.5,2,3,1,3.7,2026-03-31T17:41:32.307679Z
21,4,14.2,4,1,3,3.58,2026-04-07T17:41:32.307679Z
21,5,28.0,4,6,1,3.59,2026-04-11T17:41:32.307679Z
21,6,24.0,4,2,2,3.59,2026-04-20T17:41:32.307679Z
21,7,6.2,2,2,3,3.54,2026-04-24T17:41:32.307679Z
21,8,1.0,2,2,2,3.49,2026-05-01T17:41:32.307679Z
22,1,24.7,4,0,0,2.59,2026-03-16T17:41:32.307679Z
22,2,33.1,6,1,0,2.39,2026-03-24T17:41:32.307679Z
22,3,26.5,5,3,1,2.47,2026-03-26T17:41:32.307679Z
22,4,24.6,2,2,1,2.4,2026-04-03T17:41:32.307679Z
22,5,22.4,1,2,1,2.33,2026-04-13T17:41:32.307679Z
22,6,20.1,6,2,1,2.32,2026-04-18T17:41:32.307679Z
22,7,23.2,5,1,1,2.14,2026-04-23T17:41:32.307679Z
22,8,1.0,3,2,1,2.1,2026-05-04T17:41:32.307679Z
23,1,24.4,0,4,1,3.65,2026-03-18T17:41:32.307679Z
23,2,20.7,5,3,1,3.58,2026-03-19T17:41:32.307679Z
23,3,16.7,5,3,1,3.56,2026-03-30T17:41:32.307679Z
23,4,20.5,2,2,2,3.36,2026-04-05T17:41:32.307679Z
23,5,1.0,0,4,2,3.44,2026-04-09T17:41:32.307679Z
23,6,21.3,0,5,1,3.26,2026-04-20T17:41:32.307679Z
23,7,6.3,0,3,2,3.36,2026-04-29T17:41:32.307679Z
